id,created_at,full_name,email,phone,lead_source,agent_assigned,last_activity,last_stage_change,stage,tags,notes,next_task_due,last_call_duration,call_count,email_count
26,2025-07-13 01:28:15,John Weber,janet06@garcia-roberts.com,(400)215-1678,Facebook,Roger Davis,2025-08-06 01:28:15,2025-08-22 01:28:15,Contacted,"truth, election",Computer plan entire effect understand.,2025-08-08 01:28:15,20,0,4
27,2025-01-09 06:49:40,Rachel Charles,susan36@yahoo.com,(162)082-3489x0559,Instagram,Melinda Lowe,2025-01-25 06:49:40,2025-02-23 06:49:40,Closed,"race, shake, fund",Material gun reflect minute loss water.,2025-01-30 06:49:40,21,4,6
28,2025-06-30 04:19:28,William Shea,jeffrey33@stanton-taylor.com,045.496.3223x653,Instagram,Tamara Davis,2025-07-14 04:19:28,2025-07-26 04:19:28,Dead,"quickly, five, today",Lot life door half.,2025-07-18 04:19:28,22,2,9
29,2025-05-09 04:15:06,Kathleen Bonilla,ellismindy@gmail.com,001-798-938-0940x505,Instagram,Tamara Davis,2025-06-05 04:15:06,2025-06-08 04:15:06,Under Contract,rest,Major us beat.,2025-06-12 04:15:06,14,4,10
30,2025-03-18 00:31:39,Joel Franklin,jason57@lozano.info,001-039-156-9681x01420,Facebook,Michelle Richardson DVM,2025-03-28 00:31:39,2025-04-12 00:31:39,New,"building, full",Eye including quickly financial movie.,2025-04-03 00:31:39,14,3,5
31,2025-04-27 20:17:55,Thomas Taylor,cruzmackenzie@guerra.org,(933)275-8840,Zillow,Shane Delgado,2025-05-05 20:17:55,2025-06-04 20:17:55,Closed,"traditional, teacher, thing",Because probably garden.,2025-05-08 20:17:55,7,3,3
32,2025-01-29 18:32:02,David Nguyen,rosethompson@reed.com,+1-794-170-0992x590,Referral,Jeffrey Bass,2025-02-16 18:32:02,2025-02-22 18:32:02,Active,"this, each, effort",Throw sign clearly.,2025-02-22 18:32:02,5,3,2
33,2025-02-10 20:54:53,Michael Baxter,kimberly35@ramirez-guerrero.com,367.843.5949x3667,Facebook,Shane Delgado,2025-02-17 20:54:53,2025-03-10 20:54:53,Under Contract,soon,Mouth we month hour box.,2025-02-22 20:54:53,26,0,5
34,2025-04-14 22:19:02,Collin Higgins,youngkendra@hotmail.com,871-049-2236x140,Organic,Rita Curry,2025-05-11 22:19:02,2025-05-27 22:19:02,Dead,"share, past",Give head executive natural own.,2025-05-15 22:19:02,11,3,10
35,2025-01-28 20:41:37,Christian Thomas,johnsonbrent@ruiz-brown.net,001-210-900-3718x8233,Instagram,Linda Macdonald,2025-02-22 20:41:37,2025-02-25 20:41:37,New,"task, us, fast",Degree information cost term father his analysis.,2025-02-24 20:41:37,5,3,8
36,2025-02-17 11:12:39,Jared Robinson,lopezwilliam@yahoo.com,1680659641,Referral,Melinda Lowe,2025-02-18 11:12:39,2025-03-19 11:12:39,Under Contract,"today, himself",Include see within citizen.,2025-02-23 11:12:39,2,5,2
37,2025-02-28 11:34:56,David Spencer,michaela58@gonzalez-carter.info,521.209.3946,Instagram,Michelle Richardson DVM,2025-03-04 11:34:56,2025-03-26 11:34:56,New,general,Rise suffer around leader.,2025-03-14 11:34:56,26,2,7
38,2025-02-12 21:17:18,Jonathan Ward,david64@hotmail.com,+1-604-183-4973x7583,Zillow,Jeffrey Bass,2025-03-08 21:17:18,2025-03-19 21:17:18,Closed,put,Continue free major certainly who garden.,2025-03-18 21:17:18,6,5,2
39,2025-05-19 06:06:43,Melissa Ortiz,zreid@kemp.com,025.032.1613,Facebook,Tamara Davis,2025-05-27 06:06:43,2025-05-31 06:06:43,Under Contract,"sometimes, hear",Consumer open investment social thing find each.,2025-06-03 06:06:43,6,1,1
40,2025-01-16 10:02:12,Rodney Lamb,danieladams@horne.com,001-187-426-1555x35749,Facebook,Brian Harris,2025-01-21 10:02:12,2025-01-31 10:02:12,New,resource,Final want point against report report.,2025-01-30 10:02:12,24,4,5
41,2025-07-24 00:57:47,Victoria Gonzales,johnsonscott@hernandez-johnson.com,382-197-1730,Referral,Tamara Davis,2025-08-16 00:57:47,2025-09-01 00:57:47,Dead,more,Area area vote child daughter.,2025-08-25 00:57:47,12,0,6
42,2025-03-02 17:09:40,Elizabeth Mendoza,dnorris@gmail.com,001-720-082-3426x175,Facebook,Michelle Richardson DVM,2025-03-05 17:09:40,2025-04-01 17:09:40,Dead,"agency, media, consider",Thank she worker food.,2025-03-10 17:09:40,29,4,8
43,2025-01-10 01:02:30,Jean Bryant,clarkeileen@hotmail.com,001-257-905-6503,Facebook,Linda Macdonald,2025-01-19 01:02:30,2025-02-16 01:02:30,Appointment Set,like,Before administration nothing history.,2025-01-20 01:02:30,11,1,5
44,2025-05-27 13:13:41,Angela Thompson,sandrahall@gmail.com,9988663825,Facebook,Melinda Lowe,2025-06-05 13:13:41,2025-07-05 13:13:41,Contacted,"development, bank, parent",Particular city professor always data.,2025-06-11 13:13:41,2,2,0
45,2025-03-21 01:14:06,Robert Moore,juanbell@hotmail.com,+1-558-960-1018,Facebook,Tamara Davis,2025-04-18 01:14:06,2025-05-09 01:14:06,Under Contract,"everyone, magazine",Likely physical talk take live message.,2025-04-27 01:14:06,19,1,9
46,2025-07-20 14:53:00,Ann Walker,riggskyle@gmail.com,518.481.3861,Facebook,Jonathan Stevenson,2025-07-31 14:53:00,2025-08-04 14:53:00,Under Contract,point,Account when environment worry.,2025-08-09 14:53:00,16,5,9
47,2025-05-05 05:15:32,Kevin Rodriguez,courtneywhite@hotmail.com,9782162029,Referral,Michelle Richardson DVM,2025-05-11 05:15:32,2025-05-24 05:15:32,Dead,"no, special",World sea cup positive already throw.,2025-05-19 05:15:32,28,2,7
48,2025-03-15 17:23:50,Kathryn Barrett,zedwards@mack.com,869.840.2872x38030,Facebook,Michelle Richardson DVM,2025-04-04 17:23:50,2025-04-15 17:23:50,Under Contract,give,Operation discover player late.,2025-04-13 17:23:50,4,0,10
49,2025-04-30 02:55:06,Zachary Simmons,ajefferson@parsons.org,(906)535-1009x4380,Google Ads,Linda Macdonald,2025-05-18 02:55:06,2025-06-13 02:55:06,New,"close, despite, election",Face coach be heavy follow.,2025-05-21 02:55:06,13,0,7
50,2025-05-24 02:01:36,Michael Torres,christopher17@hotmail.com,(644)159-5273x29847,Organic,Melinda Lowe,2025-06-17 02:01:36,2025-06-19 02:01:36,Closed,attention,Better rich vote.,2025-06-26 02:01:36,10,1,8
51,2025-03-25 14:05:57,Jason Williams,katie84@shepherd.com,+1-989-947-3916x68159,Organic,Shane Delgado,2025-04-23 14:05:57,2025-05-13 14:05:57,Contacted,"dark, you, reflect",Anyone either official left yeah house.,2025-05-02 14:05:57,11,0,7
52,2025-07-19 09:17:31,Kelli Richardson,autumn59@gmail.com,(324)988-8645x040,Referral,Shane Delgado,2025-07-22 09:17:31,2025-08-01 09:17:31,Closed,force,Avoid turn reveal affect.,2025-07-26 09:17:31,27,3,2
53,2025-06-30 16:05:08,Carol Mccormick,sheliamartinez@gmail.com,001-234-874-5264x5116,Instagram,Tamara Davis,2025-07-26 16:05:08,2025-07-30 16:05:08,Active,couple,Herself sure dark agree option some.,2025-07-30 16:05:08,20,2,6
54,2025-02-25 13:09:21,Zachary Jackson,qhunt@hotmail.com,001-562-272-8430x2110,Instagram,Roger Davis,2025-03-04 13:09:21,2025-03-31 13:09:21,Active,"coach, between, raise",Develop town realize look.,2025-03-08 13:09:21,22,1,6
55,2025-05-04 05:05:05,Thomas Little PhD,breyes@yahoo.com,(599)648-5263,Referral,Melinda Lowe,2025-05-27 05:05:05,2025-06-07 05:05:05,Under Contract,"feeling, million, side",Response responsibility treatment within strong produce accept.,2025-05-30 05:05:05,21,5,9
56,2025-03-08 02:36:55,John Werner,wilsontravis@melton.com,5854599204,Referral,Rita Curry,2025-04-04 02:36:55,2025-04-08 02:36:55,Appointment Set,"education, one",A lot force.,2025-04-14 02:36:55,10,4,3
57,2025-01-10 16:07:38,John Arias,sarah51@gmail.com,001-218-688-8107x642,Facebook,Rita Curry,2025-01-16 16:07:38,2025-01-22 16:07:38,Active,"rate, newspaper",Peace surface forget bad on.,2025-01-18 16:07:38,13,1,4
58,2025-02-02 20:51:22,Raymond Jackson,victoriadixon@perez-wilson.biz,(178)242-5294x2293,Instagram,Roger Davis,2025-02-10 20:51:22,2025-02-25 20:51:22,Active,"year, month",Public marriage by easy future standard.,2025-02-17 20:51:22,16,0,3
59,2025-06-02 08:54:55,Susan Stout,nelsonandrew@johns.com,+1-375-767-6802x1752,Referral,Shane Delgado,2025-06-21 08:54:55,2025-06-29 08:54:55,Contacted,wait,Something quality hear analysis summer answer sport sound.,2025-06-29 08:54:55,17,1,0
60,2025-02-12 13:55:58,Andrew English,freemantonya@hotmail.com,364.578.9917x690,Facebook,Jeffrey Bass,2025-02-14 13:55:58,2025-02-28 13:55:58,Appointment Set,"always, first",Pattern born many.,2025-02-22 13:55:58,2,0,8
61,2025-04-10 20:13:51,Alexis Hickman,hfischer@hotmail.com,(606)870-0119x54056,Google Ads,Tamara Davis,2025-04-14 20:13:51,2025-04-23 20:13:51,Appointment Set,"answer, the",Hour thing good sense.,2025-04-16 20:13:51,5,2,5
62,2025-02-21 16:27:54,Justin Adams,carolynbaker@benitez.info,001-417-465-0760x25052,Instagram,Tamara Davis,2025-03-04 16:27:54,2025-03-06 16:27:54,Appointment Set,"music, recognize",Later adult sort study budget crime.,2025-03-09 16:27:54,1,4,6
63,2025-07-24 16:10:25,Victor Finley,jknight@phillips-stewart.com,001-735-174-6141x06440,Zillow,Jeffrey Bass,2025-07-25 16:10:25,2025-07-28 16:10:25,Closed,"own, address, candidate",Suggest daughter work style.,2025-08-02 16:10:25,14,5,4
64,2025-03-13 16:22:54,Jennifer Rivera,lisa19@garrison.com,860.721.3714x330,Instagram,Linda Macdonald,2025-03-21 16:22:54,2025-04-19 16:22:54,Under Contract,guy,This least nice site product realize.,2025-03-22 16:22:54,14,5,5
65,2025-06-17 11:11:04,Kelly Harris,nwhite@hotmail.com,+1-435-971-4295x08401,Organic,Michelle Richardson DVM,2025-06-22 11:11:04,2025-07-20 11:11:04,Active,without,Study doctor popular expect.,2025-06-30 11:11:04,17,3,7
66,2025-01-08 15:45:57,George Peterson,ysmith@harvey.com,001-748-639-3314x3158,Google Ads,Linda Macdonald,2025-02-05 15:45:57,2025-02-14 15:45:57,New,himself,Mr soon himself mind behavior catch institution.,2025-02-06 15:45:57,29,0,8
67,2025-02-24 16:15:51,Sarah Thompson,dudleydana@brown.com,(331)227-0925,Zillow,Linda Macdonald,2025-03-02 16:15:51,2025-03-28 16:15:51,Appointment Set,"teach, concern",Painting eye knowledge future increase.,2025-03-05 16:15:51,14,3,3
68,2025-04-06 20:54:58,Patricia Ali,kevin81@raymond.com,+1-905-541-0844,Google Ads,Linda Macdonald,2025-04-26 20:54:58,2025-05-26 20:54:58,Appointment Set,"theory, talk",Fear area amount actually pattern live.,2025-05-02 20:54:58,25,3,4
69,2025-05-10 10:30:38,Claire Smith,rayjennifer@holden-french.com,7978178912,Referral,Jonathan Stevenson,2025-05-15 10:30:38,2025-05-19 10:30:38,Dead,option,Factor policy him.,2025-05-25 10:30:38,19,3,3
70,2025-03-09 18:03:57,Manuel Carter,qpowell@yahoo.com,251.557.9659,Facebook,Melinda Lowe,2025-03-29 18:03:57,2025-04-03 18:03:57,Contacted,"pretty, little, trouble",Bar hope cover cell some their.,2025-04-05 18:03:57,10,5,5
71,2025-05-12 22:54:27,Joshua Sanders,kaitlynmckee@yahoo.com,936.924.3246,Zillow,Roger Davis,2025-06-06 22:54:27,2025-07-01 22:54:27,New,"key, drop, beat",Everything party decision minute.,2025-06-12 22:54:27,29,1,4
72,2025-01-17 02:25:03,Mallory Fleming,sarahvega@yahoo.com,001-823-368-1425x0656,Zillow,Jonathan Stevenson,2025-01-20 02:25:03,2025-02-19 02:25:03,Contacted,"gun, girl",Plant identify perhaps bank sister that cell.,2025-01-21 02:25:03,6,1,3
73,2025-07-02 22:22:27,Kathleen Doyle,simmonsgina@french.info,168-409-9319x8148,Organic,Jonathan Stevenson,2025-07-15 22:22:27,2025-07-26 22:22:27,Contacted,run,Mind mouth indeed later.,2025-07-18 22:22:27,22,5,3
74,2025-03-02 18:01:55,Martha Knight,johnsonlinda@mejia.info,664.818.0877,Google Ads,Roger Davis,2025-03-09 18:01:55,2025-03-16 18:01:55,Appointment Set,culture,Hour former sense result.,2025-03-14 18:01:55,6,3,4
75,2025-01-07 02:11:22,Jessica French,carol12@yahoo.com,+1-640-958-9471,Instagram,Linda Macdonald,2025-01-24 02:11:22,2025-02-21 02:11:22,Under Contract,"yes, enough",Rock whom movement sport radio perhaps head me.,2025-01-27 02:11:22,18,4,10
76,2025-01-30 23:30:24,Michael Obrien,connorbaker@taylor.com,988-173-5522,Referral,Tamara Davis,2025-02-27 23:30:24,2025-03-27 23:30:24,Under Contract,"certain, buy, her",Professional through page current science beyond food.,2025-02-28 23:30:24,17,3,5
77,2025-02-05 06:29:06,Ethan Mcgee,laurielogan@watkins.biz,(237)781-9979,Referral,Brian Harris,2025-03-04 06:29:06,2025-03-07 06:29:06,Appointment Set,fish,Street people may theory financial.,2025-03-12 06:29:06,1,0,2
78,2025-05-20 01:59:41,Christopher Hall,alvarezmary@ward-farmer.com,448.139.8451,Facebook,Rita Curry,2025-06-05 01:59:41,2025-06-11 01:59:41,Appointment Set,"article, there, perform",Hair visit close leader.,2025-06-13 01:59:41,9,1,8
79,2025-07-18 04:29:11,Martha Romero,devin70@hotmail.com,718.972.1249,Instagram,Michelle Richardson DVM,2025-08-16 04:29:11,2025-08-23 04:29:11,Active,suggest,Amount per water item.,2025-08-23 04:29:11,11,3,4
80,2025-04-24 08:52:24,Mackenzie Barnes,ruizanthony@guerrero-smith.com,688.686.2189x94969,Organic,Brian Harris,2025-05-11 08:52:24,2025-05-19 08:52:24,Dead,"American, put",Year when throughout expert state yes actually feeling.,2025-05-15 08:52:24,13,1,4
81,2025-05-27 23:17:09,Jacob Huynh,noah54@duke.com,+1-415-352-3939,Facebook,Roger Davis,2025-06-22 23:17:09,2025-07-21 23:17:09,Appointment Set,war,Election relationship ahead concern move beautiful.,2025-06-23 23:17:09,10,1,10
82,2025-01-13 04:58:06,James Reed,nhernandez@nicholson.com,090-281-6249,Referral,Brian Harris,2025-01-14 04:58:06,2025-01-15 04:58:06,New,"network, candidate, yeah",Board letter financial from clear deal Republican.,2025-01-19 04:58:06,14,1,2
83,2025-04-30 21:24:39,Theresa Morris,lbrown@mitchell.com,+1-630-344-9262x5914,Zillow,Linda Macdonald,2025-05-07 21:24:39,2025-05-19 21:24:39,Active,develop,Race push something product.,2025-05-13 21:24:39,16,5,10
84,2025-03-26 21:27:53,Amber Banks,millermaria@yahoo.com,433-926-2339x1433,Zillow,Michelle Richardson DVM,2025-04-25 21:27:53,2025-05-21 21:27:53,Dead,"local, feeling",Serve born yet member do strong.,2025-05-04 21:27:53,26,4,3
85,2025-03-13 22:08:33,Connor Tyler,brittanycaldwell@crosby.org,001-934-746-9761x155,Instagram,Linda Macdonald,2025-03-18 22:08:33,2025-04-11 22:08:33,Active,power,Major often although though there develop should.,2025-03-21 22:08:33,5,4,3
86,2025-03-09 18:37:16,Patrick Kramer,jason07@kelly-acosta.com,087-386-9402x34942,Zillow,Rita Curry,2025-03-10 18:37:16,2025-03-18 18:37:16,Active,"challenge, woman",Reflect writer space or return heart.,2025-03-18 18:37:16,13,2,0
87,2025-04-21 10:34:48,Elizabeth Chapman,kathryn10@hotmail.com,138-759-3859,Organic,Brian Harris,2025-04-27 10:34:48,2025-05-17 10:34:48,Appointment Set,civil,Least establish network thus nice.,2025-05-02 10:34:48,7,4,8
88,2025-07-02 18:17:18,Douglas Smith,andersonbarbara@gardner.com,+1-599-329-4220x94684,Zillow,Melinda Lowe,2025-07-26 18:17:18,2025-07-29 18:17:18,Closed,later,Budget popular let discussion.,2025-07-27 18:17:18,16,0,6
89,2025-05-12 00:42:04,Joseph Griffith,kennethlutz@yahoo.com,8023291920,Zillow,Shane Delgado,2025-05-26 00:42:04,2025-05-30 00:42:04,New,learn,Song forget majority cost lot answer.,2025-06-01 00:42:04,19,1,5
90,2025-06-09 02:49:17,Kristen Smith,davidwilliams@hotmail.com,4707030914,Google Ads,Jonathan Stevenson,2025-06-19 02:49:17,2025-07-14 02:49:17,Dead,"catch, movie",Friend girl cause you offer.,2025-06-25 02:49:17,2,1,1
91,2025-03-30 15:14:01,Kristina Gonzalez,hallkelly@hotmail.com,(577)425-0750,Referral,Tamara Davis,2025-04-09 15:14:01,2025-05-07 15:14:01,New,"necessary, commercial, suffer",Yard surface black concern never.,2025-04-13 15:14:01,20,3,10
92,2025-03-08 20:10:08,Rhonda Garrison,christinahansen@yahoo.com,799-640-7903,Google Ads,Jeffrey Bass,2025-04-05 20:10:08,2025-04-16 20:10:08,Dead,"administration, attorney",Election kitchen dog each good rich.,2025-04-12 20:10:08,1,0,5
93,2025-06-19 17:07:31,Shaun Johnson,osantiago@andrade.net,3859408186,Instagram,Roger Davis,2025-06-23 17:07:31,2025-07-06 17:07:31,Under Contract,"camera, sign",You may decision mother both shoulder billion during.,2025-06-29 17:07:31,24,1,7
94,2025-07-16 09:23:10,Gabriel Allen,marklane@stewart.com,961-252-9108x4333,Google Ads,Melinda Lowe,2025-07-31 09:23:10,2025-08-21 09:23:10,Contacted,"produce, significant",Herself meeting manage such indicate.,2025-08-04 09:23:10,18,2,1
95,2025-02-06 23:25:42,Mr. Andrew Underwood,leah48@summers.biz,001-180-934-2764x9956,Facebook,Jeffrey Bass,2025-03-06 23:25:42,2025-03-14 23:25:42,Closed,"yes, important, defense",Accept process perhaps table.,2025-03-16 23:25:42,14,3,10
96,2025-07-14 10:19:11,Joshua Brown,bcoleman@campbell-thomas.com,(492)409-9542x18919,Organic,Shane Delgado,2025-08-13 10:19:11,2025-09-05 10:19:11,Under Contract,now,Throw law off develop.,2025-08-21 10:19:11,26,0,8
97,2025-04-22 09:26:01,Andrea Anderson,carmstrong@hotmail.com,(344)690-5215x957,Facebook,Tamara Davis,2025-05-20 09:26:01,2025-06-11 09:26:01,Dead,"trade, the",All suffer poor similar book item light.,2025-05-21 09:26:01,10,1,5
98,2025-05-27 06:21:09,Steven Clarke,sara41@yahoo.com,509-991-2905,Zillow,Jonathan Stevenson,2025-06-05 06:21:09,2025-06-12 06:21:09,Under Contract,"price, main",Fill give necessary usually task back.,2025-06-14 06:21:09,29,4,0
99,2025-01-02 13:27:00,Katie Powers,wilsonchristopher@lopez-scott.com,+1-446-794-6045x60098,Referral,Jonathan Stevenson,2025-01-08 13:27:00,2025-01-15 13:27:00,New,it,Republican notice recognize subject notice again benefit trade.,2025-01-18 13:27:00,25,0,3
100,2025-03-14 21:51:45,Kendra Chambers,jesse27@long-page.biz,(480)329-9114,Organic,Linda Macdonald,2025-03-27 21:51:45,2025-04-08 21:51:45,Under Contract,represent,Imagine professor lot.,2025-04-06 21:51:45,13,5,8
101,2025-04-01 00:23:12,Mark Mills,johnsonjulie@howard.com,(720)116-8310,Organic,Tamara Davis,2025-04-12 00:23:12,2025-05-05 00:23:12,Active,"threat, can, Congress",Really staff spring.,2025-04-21 00:23:12,20,4,5
102,2025-06-02 03:31:35,Jamie Cummings,njuarez@long-armstrong.net,(811)573-9538,Facebook,Brian Harris,2025-06-04 03:31:35,2025-06-19 03:31:35,Contacted,stuff,Trial yourself teacher present record think water agree.,2025-06-06 03:31:35,19,4,9
103,2025-02-03 20:33:03,Kelly Nelson,ruth78@riddle.com,669.674.7958x109,Instagram,Linda Macdonald,2025-02-22 20:33:03,2025-03-21 20:33:03,Appointment Set,"billion, player",Physical month list avoid here tell machine.,2025-03-04 20:33:03,3,0,10
104,2025-01-11 22:27:49,Mrs. Deborah Hancock,rsmith@harmon-mcgrath.com,569-805-9975x4203,Instagram,Jeffrey Bass,2025-02-07 22:27:49,2025-03-06 22:27:49,Contacted,"stuff, collection, deal",Small best past woman western new group.,2025-02-16 22:27:49,5,5,4
105,2025-05-06 18:11:28,Samuel Mayo,hmartinez@kennedy-gross.com,001-196-927-8235,Zillow,Michelle Richardson DVM,2025-05-12 18:11:28,2025-05-13 18:11:28,Dead,"population, drop",Mention bit including forward join.,2025-05-14 18:11:28,21,3,3
106,2025-03-01 11:20:50,Eric Washington,eatonraymond@gmail.com,+1-463-435-6455x2088,Zillow,Tamara Davis,2025-03-12 11:20:50,2025-03-31 11:20:50,Contacted,"help, ability",Today development buy recent.,2025-03-21 11:20:50,21,3,8
107,2025-05-22 18:02:49,Anita White,olivia19@hotmail.com,(188)920-9553,Zillow,Linda Macdonald,2025-06-12 18:02:49,2025-06-25 18:02:49,Contacted,"over, should",Surface out network above green east citizen.,2025-06-21 18:02:49,2,0,5
108,2025-06-15 04:34:48,Christina Moreno,charles69@hotmail.com,889.558.6898,Referral,Linda Macdonald,2025-07-10 04:34:48,2025-07-22 04:34:48,Active,site,Color account open tell customer attorney adult.,2025-07-16 04:34:48,27,2,8
109,2025-04-07 02:05:18,Kyle Simmons,amyoliver@miller-wolf.info,230-746-5278x267,Facebook,Brian Harris,2025-05-07 02:05:18,2025-05-17 02:05:18,Under Contract,"some, study",How gun it audience view group different.,2025-05-09 02:05:18,6,3,10
